SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,September-18-2020,Single Family Residential,783 Ingerson Ave,San Francisco,CA,94124,675000,3,2,Bayview,1230,4996,1914,44,549,,Sold,,,http://www.redfin.com/CA/San-Francisco/783-Ingerson-Ave-94124/home/1176291,San Francisco MLS,499948,N,Y,37.7165562,-122.3891296
PAST SALE,September-11-2020,Single Family Residential,52 Carrizal St,SAN FRANCISCO,CA,94134,801000,3,2,SAN FRANCISCO,994,1999,1944,51,806,,Sold,,,http://www.redfin.com/CA/San-Francisco/52-Carrizal-St-94134/home/1414903,MLSListings,ML81802126,N,Y,37.709416,-122.4207447
PAST SALE,October-16-2020,Condo/Co-op,39 San Carlos St #301,San Francisco,CA,94110,1450000,3,2,Inner Mission,1150,,2015,16,1261,344,Sold,,,http://www.redfin.com/CA/San-Francisco/39-San-Carlos-St-94110/unit-301/home/144063807,San Francisco MLS,504581,N,Y,37.7621585,-122.4199574
PAST SALE,,Condo/Co-op,66 Cleary Ct #1507,San Francisco,CA,94109,1100000,,2,,,,1963,,,,,,,http://www.redfin.com/CA/San-Francisco/66-Cleary-Ct-94109/unit-1507/home/574164,,,N,Y,37.7843846,-122.4269748
PAST SALE,,Single Family Residential,36 Rivoli St,San Francisco,CA,94117,2550000,,1,,,2495,1954,,,,,,,http://www.redfin.com/CA/San-Francisco/36-Rivoli-St-94117/home/602608,,,N,Y,37.7627548,-122.4486479
PAST SALE,September-29-2020,Single Family Residential,1711 47th Ave,San Francisco,CA,94122,1350000,3,2,Outer Sunset,1177,1873,1945,33,1147,,Sold,,,http://www.redfin.com/CA/San-Francisco/1711-47th-Ave-94122/home/640387,San Francisco MLS,503774,N,Y,37.7544913,-122.5068228
PAST SALE,October-6-2020,Single Family Residential,1910 43rd Ave,San Francisco,CA,94116,1225000,3,2,Outer Parkside,1214,1746,1948,26,1009,,Sold,,,http://www.redfin.com/CA/San-Francisco/1910-43rd-Ave-94116/home/646408,San Francisco MLS,499664,N,Y,37.7509718,-122.5018452
PAST SALE,March-27-2020,Single Family Residential,113 San Diego Ave,Daly City,CA,94014,915000,3,1,Original Daly City,1180,2424,1950,219,775,,Sold,,,http://www.redfin.com/CA/Daly-City/113-San-Diego-Ave-94014/home/545641,San Francisco MLS,489032,N,Y,37.708074,-122.466369
PAST SALE,April-22-2019,Single Family Residential,1200 48th Ave,San Francisco,CA,94122,1241000,3,2,Outer Sunset,1250,1437,1943,559,993,,Sold,,,http://www.redfin.com/CA/San-Francisco/1200-48th-Ave-94122/home/1877870,San Francisco MLS,482471,N,Y,37.7639312,-122.5081582
PAST SALE,September-30-2020,Single Family Residential,3732 Kirkham St,San Francisco,CA,94122,1365000,3,1,Outer Sunset,1115,2495,1954,32,1224,,Sold,,,http://www.redfin.com/CA/San-Francisco/3732-Kirkham-St-94122/home/1799619,San Francisco MLS,505104,N,Y,37.7589475,-122.5011018
PAST SALE,November-8-2019,Condo/Co-op,35 Galilee Ln #3,San Francisco,CA,94115,660000,3,2,Western Addition,1050,,1964,359,629,959,Sold,,,http://www.redfin.com/CA/San-Francisco/35-Galilee-Ln-94115/unit-3/home/12401726,San Francisco MLS,487641,N,Y,37.7834077,-122.4284407
PAST SALE,July-10-2020,Single Family Residential,644 Thornton Ave,San Francisco,CA,94124,1050000,3,1,Silver Terrace,1100,2121,1941,114,955,,Sold,,,http://www.redfin.com/CA/San-Francisco/644-Thornton-Ave-94124/home/752648,San Francisco MLS,498520,N,Y,37.7315781,-122.4006006
